United States,Jan 23 2020,1,0,0
United States,Jan 24 2020,1,0,0
United States,Jan 25 2020,0,0,0
United States,Jan 26 2020,1,0,0
United States,Jan 27 2020,0,0,0
United States,Jan 28 2020,0,0,0
United States,Jan 29 2020,0,0,0
United States,Jan 30 2020,0,0,0
United States,Jan 31 2020,1,0,0
United States,Feb  1 2020,1,0,0
United States,Feb  2 2020,3,0,0
United States,Feb  3 2020,3,1,0
United States,Feb  4 2020,0,1,0
United States,Feb  5 2020,0,1,0
United States,Feb  6 2020,0,1,0
United States,Feb  7 2020,1,1,0
United States,Feb  8 2020,0,1,0
United States,Feb  9 2020,0,0,0
United States,Feb 10 2020,0,0,0
United States,Feb 11 2020,0,0,0
United States,Feb 12 2020,1,0,0
United States,Feb 13 2020,1,0,0
United States,Feb 14 2020,0,0,0
United States,Feb 15 2020,0,0,0
United States,Feb 16 2020,0,0,0
United States,Feb 17 2020,2,0,0
United States,Feb 18 2020,5,1,0
United States,Feb 19 2020,3,1,0
United States,Feb 20 2020,1,1,0
United States,Feb 21 2020,5,2,0
United States,Feb 22 2020,6,3,0
United States,Feb 23 2020,0,3,0
United States,Feb 24 2020,4,3,0
United States,Feb 25 2020,4,3,0
United States,Feb 26 2020,8,4,0
United States,Feb 27 2020,5,4,0
United States,Feb 28 2020,4,4,0
United States,Feb 29 2020,9,4,0
United States,Mar  1 2020,18,7,0
United States,Mar  2 2020,36,12,0
United States,Mar  3 2020,64,20,0
United States,Mar  4 2020,67,29,0
United States,Mar  5 2020,78,39,0
United States,Mar  6 2020,121,56,0
United States,Mar  7 2020,160,77,0
United States,Mar  8 2020,211,105,0
United States,Mar  9 2020,415,159,0
United States,Mar 10 2020,496,221,0
United States,Mar 11 2020,514,285,0
United States,Mar 12 2020,748,380,0
United States,Mar 13 2020,914,494,0
United States,Mar 14 2020,1242,648,0
United States,Mar 15 2020,2182,930,0
United States,Mar 16 2020,2335,1204,0
United States,Mar 17 2020,3213,1592,0
United States,Mar 18 2020,4909,2220,0
United States,Mar 19 2020,6154,2992,0
United States,Mar 20 2020,7477,3930,0
United States,Mar 21 2020,9218,5069,0
United States,Mar 22 2020,10826,6304,0
United States,Mar 23 2020,10773,7510,0
United States,Mar 24 2020,11351,8672,0
United States,Mar 25 2020,14002,9971,0
United States,Mar 26 2020,18736,11769,0
United States,Mar 27 2020,20231,13591,0
United States,Mar 28 2020,20635,15222,0
United States,Mar 29 2020,26334,17437,0
United States,Mar 30 2020,15586,18125,0
United States,Mar 31 2020,23542,19866,0
United States,Apr  1 2020,28347,21915,0
United States,Apr  2 2020,30043,23531,0
United States,Apr  3 2020,31840,25189,0
United States,Apr  4 2020,32491,26883,0
United States,Apr  5 2020,27044,26984,0
United States,Apr  6 2020,28693,28857,0
United States,Apr  7 2020,29392,29692,0
United States,Apr  8 2020,34184,30526,0
United States,Apr  9 2020,34860,31214,0
United States,Apr 10 2020,32702,31338,0
United States,Apr 11 2020,32207,31297,0
United States,Apr 12 2020,27088,31303,0
United States,Apr 13 2020,25107,30791,0
United States,Apr 14 2020,25162,30187,0
United States,Apr 15 2020,25185,28901,0
United States,Apr 16 2020,31782,28461,0
United States,Apr 17 2020,30561,28156,0
United States,Apr 18 2020,27598,27497,0
United States,Apr 19 2020,27027,27488,0
United States,Apr 20 2020,26156,27638,0
United States,Apr 21 2020,25384,27670,0
United States,Apr 22 2020,31050,28508,0
United States,Apr 23 2020,33079,28693,0
United States,Apr 24 2020,35012,29329,0
United States,Apr 25 2020,33373,30154,0
United States,Apr 26 2020,26328,30054,0
United States,Apr 27 2020,24499,29817,0
